Example,Scope,Local Time,Global Time,It.,#R.States,#T.States,Result
arbiter2,11,-,-,-,-,-,UNSAT
arbiter2,12,-,-,-,-,-,UNSAT
arbiter3,11,-,1.204,-,-,-,UNSAT
arbiter3,12,1.238,2.631,10,2^2.32,2^18,SAT
arbiter4,11,-,0.949,-,-,-,UNSAT
arbiter4,12,1.194,3.814,10,2^7,2^24,SAT
arbiter4,11,-,1.328,-,-,-,UNSAT
arbiter4,12,1.369,4.043,10,2^7,2^24,SAT
arbiter5,11,-,1.165,-,-,-,UNSAT
arbiter5,12,1.706,14.298,28,2^8.32,2^30,SAT
