Example,Scope,Local Time,Global Time,It.,#R.States,#T.States,Result
phils3,13,-,3.059,-,-,-,UNSAT
phils3,14,8.458,9.181,5,2^2.58,2^21.50,SAT
phils4,13,-,3.165,-,-,-,UNSAT
phils4,14,0.815,5.896,41,2^8,2^28.67,SAT
phils5,13,-,3.16,-,-,-,UNSAT
phils5,14,0.816,198.833,335,2^9.39,2^35.84,SAT
phils6,13,-,3.282,-,-,-,UNSAT
phils6,14,0.827,973.904,365,2^12,2^43.01,SAT
phils7,13,-,3.205,-,-,-,UNSAT
phils7,14,-,T/O,-,-,-,-
