Example,Scope,Local Time,Global Time,It.,#R.States,#T.States,Result
phils3,13,-,3.119,-,-,-,UNSAT
phils3,14,9.024,9.649,5,2^2.58,2^21.50,SAT
phils4,13,-,3.201,-,-,-,UNSAT
phils4,14,0.819,6.038,41,2^8,2^28.67,SAT
phils5,13,-,3.161,-,-,-,UNSAT
phils5,14,0.81,194.776,335,2^9.39,2^35.84,SAT
phils6,13,-,3.174,-,-,-,UNSAT
phils6,14,0.81,953.725,365,2^12,2^43.01,SAT
phils7,13,-,3.139,-,-,-,UNSAT
phils7,14,-,T/O,-,-,-,-
